episode_id,season,episode,number_in_series,title,summary,air_date,episode_image,rating,votes
S20-E1,20,1,421,"Sex, Pies and Idiot Scrapes","Homer and Ned go into business together as bounty hunters, and Marge takes a job at an erotic bakery.",2008-09-28,"https://m.media-amazon.com/images/M/MV5BMTYwMzk2Njg5N15BMl5BanBnXkFtZTgwMzA2MDQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",7.2,1192
S20-E2,20,2,422,Lost Verizon,Bart gets in trouble with Marge after she finds out that he has Denis Leary's cell phone and is using it to make prank phone calls.,2008-10-05,"https://m.media-amazon.com/images/M/MV5BMjMyNzU4ODMzN15BMl5BanBnXkFtZTgwMTg5MTQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",7.0,1055
S20-E3,20,3,423,"Double, Double, Boy in Trouble","Bart trades lives with his multi-millionaire lookalike, but discovers that his lookalike's life isn't all he thought it would be.",2008-10-19,"https://m.media-amazon.com/images/M/MV5BMjA1ODM2ODkwM15BMl5BanBnXkFtZTgwOTc5MTQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",7.0,1015
S20-E4,20,4,424,Treehouse of Horror XIX,"The Simpsons' 19th Halloween Special, with parodies of ""Transformers,"" ""Mad Men,"" and ""It's the Great Pumpkin, Charlie Brown.""",2008-11-02,"https://m.media-amazon.com/images/M/MV5BMTgzOTYyNTc2OF5BMl5BanBnXkFtZTgwNjc5MTQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",7.1,1190
S20-E5,20,5,425,Dangerous Curves,"The Simpsons take a Fourth of July vacation to a cabin hotel, which cause Homer and Marge to reminisce about two episodes from their past where they stayed in the cabin.",2008-11-09,"https://m.media-amazon.com/images/M/MV5BMjMxOTY4MjQzNl5BMl5BanBnXkFtZTgwMzc5MTQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",6.5,951
S20-E6,20,6,426,Homer and Lisa Exchange Cross Words,"Homer gets a job breaking up couples, and Lisa becomes an expert crossword puzzle solver, but Homer bets against her in a competition.",2008-11-16,"https://m.media-amazon.com/images/M/MV5BMTQ2MzcyOTMyMl5BMl5BanBnXkFtZTgwNDc5MTQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",7.0,955
S20-E7,20,7,427,MyPods and Boomsticks,"Homer suspects that the family of Bart's new Muslim friend from Jordan is part of a terrorist plot, and Lisa becomes obsessed with her new MyPod.",2008-11-30,"https://m.media-amazon.com/images/M/MV5BNTE5NzY3NjU3OV5BMl5BanBnXkFtZTgwODc5MTQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",7.0,1117
S20-E8,20,8,428,The Burns and the Bees,"Mr. Burns wins a professional basketball team in a poker game, and the new arena he plans to have Springfield build for the team threatens to interfere with Lisa's new bee sanctuary.",2008-12-07,"https://m.media-amazon.com/images/M/MV5BNTg0MTc4MDM2Nl5BMl5BanBnXkFtZTgwNzY5MTQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",6.6,956
S20-E9,20,9,429,Lisa the Drama Queen,"Lisa and her new best friend create their own fantasy world, but Marge doesn't want Lisa to see her friend anymore after she finds out that they're too far gone in it.",2009-01-25,"https://m.media-amazon.com/images/M/MV5BMjExMzg0MzM3M15BMl5BanBnXkFtZTgwNTY5MTQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",5.9,1085
S20-E10,20,10,430,"Take My Life, Please","Homer finds out that he actually won the senior class president election, and he gets an opportunity to find out how his life would have been different if it had happened.",2009-02-15,"https://m.media-amazon.com/images/M/MV5BMjI2MjcyNDYwNV5BMl5BanBnXkFtZTgwMDY5MTQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",6.9,911
S20-E11,20,11,431,How the Test Was Won,"Bart and his fellow underachievers are taken on a ""field trip"" to Capital City so that they can miss the standardized test, and Homer makes sure that nothing bad happens until their insurance goes back into effect.",2009-03-01,"https://m.media-amazon.com/images/M/MV5BMjEyMDg1MzY3MF5BMl5BanBnXkFtZTgwMTY5MTQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",6.9,919
S20-E12,20,12,432,"No Loan Again, Naturally","The Simpsons lose their house, but Flanders buys it and offers to rent it back to them. But when they turn out to be less-than-reliable renters, Flanders kicks them out.",2009-03-08,"https://m.media-amazon.com/images/M/MV5BMTgyNzk3ODUyNl5BMl5BanBnXkFtZTgwMjU5MTQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",6.8,905
S20-E13,20,13,433,Gone Maggie Gone,"In order to rescue Maggie from a Catholic orphanage, Lisa must solve a series of puzzles to reveal the identity of a gem that will bring peace to Springfield.",2009-03-15,"https://m.media-amazon.com/images/M/MV5BMjE5NTUyNzQxOV5BMl5BanBnXkFtZTgwODY5MTQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",7.2,1049
S20-E14,20,14,434,In the Name of the Grandfather,"The Simpsons take Grandpa to Ireland so he can go back to visit a pub he went to during the war, but Grandpa and Homer get suckered into buying the bar.",2009-03-22,"https://m.media-amazon.com/images/M/MV5BMTg1ODc4NTQxOV5BMl5BanBnXkFtZTgwNDY5MTQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",6.3,957
S20-E15,20,15,435,Wedding for Disaster,"Homer is kidnapped moments before he and Marge are supposed to re-renew their vows. However, Marge comes to the conclusion that Homer left her at the altar.",2009-03-29,"https://m.media-amazon.com/images/M/MV5BMTc0NzM2NzA0MF5BMl5BanBnXkFtZTgwMjY5MTQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",6.6,871
S20-E16,20,16,436,Eeny Teeny Maya Moe,"Moe begins dating a little person he met on the Internet, while Maggie is being bullied at the playground next to Moe's where Homer is leaving her.",2009-04-05,"https://m.media-amazon.com/images/M/MV5BMjIzMzkxNTkwOF5BMl5BanBnXkFtZTgwNzU5MTQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",7.1,948
S20-E17,20,17,437,"The Good, the Sad and the Drugly","Bart gets Milhouse to take the rap for a prank at school, and then blows him off when he falls for a cute 5th grade do-gooder, prompting Milhouse's wrath. Meanwhile, Lisa begins taking ""happy pills"" to improve her negative outlook.",2009-04-19,"https://m.media-amazon.com/images/M/MV5BMjExNTE1MjExMl5BMl5BanBnXkFtZTgwNjY5MTQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",7.2,976
S20-E18,20,18,438,Father Knows Worst,"Homer becomes a ""helicopter parent"" at Springfield Elementary by helping Bart finish a class project and helping Lisa become popular, and Marge finds a secret sauna in their house.",2009-04-26,"https://m.media-amazon.com/images/M/MV5BMTQyODI1MjM5OF5BMl5BanBnXkFtZTgwMzY5MTQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",7.0,901
S20-E19,20,19,439,"Waverly Hills, 9021-D'Oh",The Simpsons set up a fake residence in Waverly Hills so that Bart and Lisa can attend school there.,2009-05-03,"https://m.media-amazon.com/images/M/MV5BMTk3NjE0NTc2N15BMl5BanBnXkFtZTgwMDU5MTQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",7.1,992
S20-E20,20,20,440,Four Great Women and a Manicure,"A series of parodies based on four strong women: Queen Elizabeth, Snow White, Lady MacBeth, and Ayn Rand.",2009-05-10,"https://m.media-amazon.com/images/M/MV5BNzg5OTYwMTI3OF5BMl5BanBnXkFtZTgwNjU5MTQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",6.3,927
S20-E21,20,21,441,Coming to Homerica,"Townspeople build a wall around Springfield to keep ""immigrants"" from Ogdenville from relocating to their town.",2009-05-17,"https://m.media-amazon.com/images/M/MV5BMTc2MDMzOTI3MF5BMl5BanBnXkFtZTgwNzc5MTQ2MjE@._V1_UX224_CR0,0,224,126_AL_.jpg",7.2,1032
